Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,287331.452,281530.258,294456.433,302116.796,303957.63,307433.946,329259.93,333623.66,346912.868,325523.257,329604.628,324859.53,341001.664,346476.495,348757.369,362684.635,371214.077,377235.291,387634.903,395093.581,373080.58,..,..,..
Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,60725.52,65602.63,60542.17,60281.813,61103.221,61730.278,63024.729,63901.142,65565.96,63798.466,63695.79,65716.307,67179.44,72316.907,71865.866,74238.415,71565.172,69141.285,68268.539,62261.993,66897.081,..,..,..
Azerbaijan,AZE,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,57681.91,49365.154,42672.879,33479.71,31514.198,29809.043,31675.546,28576.931,29508.349,28771.282,29614.692,30615.783,32089.917,34337.788,39167.227,41426.099,45701.821,42628.875,45731.157,..,..,..
"Bahamas, The",BHS,CO2 emissions (kt),EN.ATM.CO2E.KT,1950.844,1782.162,1793.163,1701.488,1686.82,1683.153,1668.485,1364.124,1679.486,1675.819,1668.485,1569.476,1576.81,1518.138,1723.49,1598.812,1521.805,1547.474,1045.095,1642.816,2464.224,..,..,..
Bahrain,BHR,CO2 emissions (kt),EN.ATM.CO2E.KT,11884.747,11503.379,10590.296,15141.043,15254.72,16021.123,15621.42,17319.241,18404.673,18019.638,18643.028,13927.266,15698.427,16468.497,17509.925,19207.746,19497.439,22398.036,24301.209,24169.197,24202.2,..,..,..
Bangladesh,BGD,CO2 emissions (kt),EN.ATM.CO2E.KT,15533.412,15940.449,17748.28,17407.249,18969.391,22816.074,24029.851,25063.945,24048.186,25236.294,27869.2,32456.617,33707.064,33883.08,39750.28,37553.747,48136.709,48466.739,46435.221,52328.09,56152.771,..,..,..
Barbados,BRB,CO2 emissions (kt),EN.ATM.CO2E.KT,1074.431,1206.443,979.089,1114.768,748.068,828.742,850.744,902.082,1140.437,1210.11,1188.108,1221.111,1228.445,1268.782,1294.451,1353.123,1371.458,1426.463,1635.482,1624.481,1503.47,..,..,..
Belarus,BLR,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,87487.286,74451.101,65914.325,62118.98,60157.135,59519.077,57597.569,55819.074,53468.527,52595.781,52390.429,53721.55,58037.609,59064.369,61829.287,60281.813,62815.71,60292.814,62221.656,..,..,..
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,108469.86,117578.688,114373.73,108924.568,113306.633,112976.603,119624.874,116295.238,119184.834,115844.197,115708.518,114766.099,107531.108,114835.772,111282.449,108524.865,106834.378,103215.049,103882.443,104194.138,108946.57,..,..,..
Belize,BLZ,CO2 emissions (kt),EN.ATM.CO2E.KT,311.695,359.366,355.699,377.701,374.034,377.701,308.028,388.702,370.367,601.388,689.396,711.398,359.366,374.034,381.368,396.036,407.037,425.372,407.037,414.371,421.705,..,..,..
